| [League](https://league.com/ca/join-league) | Toronto, ON |
| [Thalmic Labs](https://www.thalmic.com/careers) | Kitchener, ON |
| [Zoocasa](https://www.zoocasa.com/company/careers) | Toronto, ON |
| [Top Hat](https://tophat.com/work-with-us/) | Toronto, ON |
| [Influitive](https://influitive.com/careers/) | Toronto, ON |
| [Eventbase](https://www.eventbase.com/) | Vancouver, BC |
| [360insights](https://360insights.com/) | Whitby, ON |
| [Askuity](https://www.askuity.com/company/hiring/) | Toronto, ON |
| [Drop](https://www.earnwithdrop.com/pages/careers) | Toronto, ON |
| [Bench](https://bench.co/) | Vancouver, BC |
| [Hopper](https://www.hopper.com/corp/jobs.html) | Montreal, QB |
| [Vidyard](https://www.vidyard.com/) | Kitchener, ON |
| [eSentire](https://www.esentire.com/about-us/careers/) | Cambridge, ON |
| [Aeryon Labs](https://www.aeryon.com/careers) | Waterloo, ON |
| [Hootsuite](https://hootsuite.com/) | Vancouver, BC |
| [Plenty Of Fish](http://www.pof.com/careers.aspx?api=1) | Vancouver, BC |
| [500px Inc.](https://about.500px.com/) | Toronto, ON |
| [Shopify](https://www.shopify.ca) | Ottawa, Toronto, Montreal, Waterloo |
| [BlackBerry](https://ca.blackberry.com/) | Waterloo, ON |
| [OpenText](www.opentext.com) | Waterloo, ON |
| [CAE](http://www.cae.com/careers/) | Saint-Laurent, QC |
| [D+H](http://www.dh.com/careers/life-dh) | Mississauga or Toronto, ON |
| [SMART](https://careers.smarttech.com/) | Calgary, AB |
| [iQmetrix](http://www.iqmetrix.com/careers) | Vancouver, BC |
| [Kinaxis](http://www.kinaxis.com/en/about/kinaxis-careers/) | Ottawa, ON |
| [Maplesoft](http://www.maplesoftgroup.com/) | Ottawa, ON |
| [D-Wave](https://www.dwavesys.com/) | Burnaby, BC |
| [1QBit](http://1qbit.com/) | Vancouver, BC |
| [Finn.ai](Finn.ai) | Vancouver, BC |
| [Zoom.ai](https://zoom.ai/) | Toronto, ON |
| [Wiivv](https://wiivv.com/) | Vancouver, BC |
| [Nudge](https://nudge.ai/careers/#open-positions) | Toronto, ON |
| [A Thinking Ape](http://www.athinkingape.com/) | Vancouver, BC |
| [AdGear](http://adgear.com/) | Montreal, QB |
| [Anahita Tribe](https://www.getanahita.com/) | Vancouver, BC |
| [Analyze Re](http://analyzere.com/) |  Halifax, NS
| [Algolux](https://algolux.com/) | Montreal, QB |
| [Control](https://www.getcontrol.co/) | Vancouver, BC |
| [airG](http://corp.airg.com/) |  Vancouver, BC |
| [Ubisoft](https://www.ubisoft.com/en-US/careers/experience.aspx) | Montreal, QB |
| [BioWare](http://www.bioware.com/en/careers/) | Edmonton, AB |
| [Capcom Vancouver](https://www.capcomvancouver.com/) | Vancouver, BC |
| [The Coalition](http://thecoalitionstudio.com/#Home) | Vancouver, BC |
| [imageworks](http://www.imageworks.com/jobs.php) | Vancouver, BC |
| [Bank of Canada](http://www.bankofcanada.ca/careers/) | Ottawa, ON |
| [D2L](https://www.d2l.com/careers/) |  Kitchener, ON |
| [IC Group LP](https://icgrouplp.com) | Winnipeg, MB |
| [Thinkbox Software](http://www.thinkboxsoftware.com/) | Winnipeg, MB |
| [Tipping Canoe](http://www.tippingcanoe.com/) | Winnipeg, MB |
| [FreshBooks](https://www.freshbooks.com/) | Toronto, ON |
| [Square](https://squareup.com/ca/careers) | Toronto, ON |
| [kindred.ai](https://www.kindred.ai/) | Toronto, ON |
| [PerfectMind](http://www.perfectmind.com) | Vancouver, BC |
| [Hockeystick](https://hockeystick.co/) | Toronto, ON |
| [Harmonic Fund Services](http://harmonicfundservices.com/careers/) | Toronto, ON |
| [EA Vancouver](http://www2.ea.com/locations/vancouver)| Burnaby, BC |
| [Skip the Dishes](https://www.skipthedishes.com/jobs) | Winnipeg, MB or Saskatoon, SK|
| [Wealthsimple](https://www.wealthsimple.com/en-ca/work-with-us) | Toronto, ON |
| [lightspeed](https://www.lightspeedhq.com/careers/) | Montreal, QB |
| [RealDecoy](https://www.realdecoy.com/careers-en/) | Ottawa, ON |
| [AppDirect](https://careers.appdirect.com) | Montreal, QB |
| [Macadamian](http://www.macadamian.com/careers-ux-designer/) | Ottawa, ON |
| [360pi](https://www.360pi.com/careers) | Ottawa, ON |
| [fuze](https://www.fuze.com/careers#!/) | Ottawa, ON |
| [Uber](https://www.uber.com/en-CA/careers/) | Toronto, ON |
| [Vigilant](http://www.vigilantglobal.com/en/careers) | Montreal, QB |
| [IUGO Mobile Entertainment](http://www.iugome.com/careers.html) | Vancouver, BC |
| [NexJ Systems](https://careers.nexj.com/) | Toronto, ON |
| [Amdocs](https://jobs.amdocs.com/search/?q=&locationsearch=canada) | Ottawa, Toronto, Montreal |
| [Visier Inc](https://www.visier.com/about/careers/) | Vancouver, BC |
| [Mirillion](http://www.mirillion.ca/#content-mass-bottom) | Toronto, ON |
| [AppNeta](https://www.appneta.com/about/careers/) | Vancouver, BC |
| [Google Waterloo](https://careers.google.com/locations/waterloo/) | Waterloo ON |
| [Amazon Vancouver](https://www.amazon.jobs/location/vancouvervictoria-canada?base_query=&loc_query=&job_count=10&result_limit=10&sort=relevant&location%5B%5D=vancouvervictoria-canada&cache) | Vancouver, BC |
| [Amazon Toronto](https://www.amazon.jobs/en/locations/toronto-canada?base_query=&loc_query=&job_count=10&result_limit=10&sort=relevant&location%5B%5D=toronto-canada&cache) | Toronto, ON |
| [Nuance](https://jobs.nuance.com/) | Montreal, QB |
| [AxiomZen](https://www.axiomzen.co/careers) | Vancouver, BC |
| [Daisy Intelligence](http://www.daisyintelligence.com/careers/) | Vaughan, ON |
| [Sensibill](https://getsensibill.com/careers) | Toronto, ON |
| [DNN software](http://www.dnnsoftware.com/about/careers) | Langley, BC |
| [Move, Inc](http://careers.move.com/) | Richmond, BC |
| [Mogo](https://www.mogo.ca/careers) | Vancouver or Toronto |
| [Via Science](http://www.viascience.com/careers/) | Montreal, QB |
| [CWP Energy](http://cwpenergy.com/) | Montreal, QB |
| [wrnch](https://wrnch.com/jobs/) | Montreal, QB |
| [deepgenomics](https://www.deepgenomics.com/) | Toronto, ON |
| [FLIR](http://www.flir.com/careers/?id=64835) |  Richmond, BC |
| [XIRIS](http://www.xiris.com/about-us/careers/) | Burlington, ON |
| [LMI3D](http://lmi3d.com/careers) | Burnaby, BC |
| [Genetec](http://www.genetec.com/about-us/careers) | Montreal, QB |
| [Creaform](https://careers.creaform3d.com/) | Lévis, QB |
| [InfoVista](http://www.infovista.com/company/Career-Opportunities) | Gatineau, QB | 
| [NetWorkers](https://www.networkerstechnology.com/) | Montreal or Toronto |
| [ebay](https://careers.ebayinc.com/join-our-team/start-your-search/) | Toronto, ON |
| [Affinity](http://www.affsys.com/company/careers/) | Mississauga, ON |
| [epam](https://www.epam.com/careers) | Toronto, ON |
| [Geotab](https://www.geotab.com/careers/) | Oakville, ON |
| [Rakuten Kobo](https://www.kobo.com/ca/en/p/careers?style=onestore&store=CA) | Toronto, ON |
| [Mobify](https://www.mobify.com/jobs/) | Vancouver, BC |
| [DarkVision](https://darkvisiontech.com/careers/) | Vancouver, BC |
| [Invenia](https://www.invenia.ca/) | Winnipeg, MB |
| [Microsoft Vancouver](https://mcec.microsoft.ca/careers/) | Vancouver, BC |
| [DeepMind](https://deepmind.com/careers/) | Edmonton, Montreal |
| [REDSpace](https://www.redspace.com) | Bedford, Nova Scotia |
